-10147	1
-50	1
-34	1
-29	1
-26	2
-25	1
-24	2
-23	2
-22	5
-21	6
-20	5
-19	4
-18	4
-17	7
-16	4
-15	10
-14	8
-13	7
-12	12
-11	8
-10	5
-9	10
-8	9
-7	5
-6	5
-5	8
-4	9
-3	1
-2	1
-1	1
0	39
1	19
2	19
3	22
4	13
5	14
6	14
7	8
8	21
9	19
10	11
11	20
12	13
13	10
14	18
15	11
16	16
17	16
18	13
19	16
20	7
21	8
22	12
23	8
24	14
25	10
26	14
27	9
28	9
29	17
30	13
31	12
32	14
33	8
34	18
35	14
36	11
37	5
38	13
39	11
40	7
41	11
42	10
43	10
44	11
45	12
46	12
47	7
48	8
49	13
50	9
51	12
52	7
53	9
54	10
55	9
56	14
57	8
58	7
59	5
60	5
61	11
62	3
63	6
64	10
65	6
66	14
67	7
68	9
69	7
70	8
71	8
72	9
73	8
74	12
75	7
76	10
77	5
78	8
79	3
80	12
81	9
82	7
83	8
84	9
85	7
86	4
87	6
88	6
89	11
90	13
91	5
92	7
93	10
94	7
95	10
96	5
97	2
98	8
99	9
100	5
101	12
102	6
103	6
104	6
105	4
106	14
107	9
108	6
109	6
110	15
111	10
112	8
113	5
114	4
115	9
116	5
117	8
118	6
119	7
120	5
121	4
122	7
123	9
124	6
125	10
126	5
127	7
128	8
129	6
130	9
131	4
132	6
133	2
134	3
135	8
136	4
137	7
138	8
139	6
140	3
141	3
142	5
143	10
144	8
145	6
146	4
147	4
148	8
149	7
150	12
151	7
152	7
153	18
154	4
155	8
156	6
157	7
158	9
159	6
160	11
161	6
162	6
163	9
164	9
165	8
166	6
167	7
168	5
169	11
170	8
171	6
172	7
173	10
174	5
175	12
176	9
177	5
178	6
179	13
180	5
181	7
182	7
183	3
184	13
185	6
186	6
187	8
188	8
189	11
190	7
191	9
192	6
193	8
194	5
195	11
196	6
197	3
198	6
199	6
200	6
201	6
202	12
203	14
204	4
205	4
206	9
207	9
208	9
209	12
210	5
211	6
212	3
213	7
214	6
215	4
216	5
217	3
218	7
219	7
220	7
221	5
222	11
223	6
224	7
225	5
226	6
227	6
228	8
229	7
230	10
231	5
232	8
233	3
234	6
235	7
236	11
237	7
238	8
239	7
240	2
241	5
242	3
243	13
244	8
245	5
246	9
247	5
248	10
249	6
250	6
251	11
252	4
253	8
254	5
255	9
256	5
257	7
258	7
259	8
260	9
261	2
262	2
263	8
264	5
265	3
266	7
267	10
268	8
269	5
270	9
271	3
272	8
273	11
274	6
275	8
276	5
277	4
278	7
279	8
280	8
281	7
282	9
283	5
284	5
285	8
286	4
287	11
288	6
289	7
290	5
291	8
292	3
293	7
294	5
295	11
296	7
297	10
298	6
299	4
300	7
301	5
302	10
303	3
304	6
305	5
306	8
307	3
308	10
309	9
310	12
311	7
312	9
313	6
314	6
315	5
316	10
317	12
318	6
319	8
320	11
321	12
322	11
323	6
324	4
325	5
326	8
327	6
328	7
329	7
330	9
331	4
332	8
333	8
334	10
335	5
336	7
337	7
338	8
339	5
340	2
341	6
342	7
343	7
344	5
345	7
346	3
347	6
348	10
349	10
350	9
351	7
352	5
353	10
354	7
355	8
356	11
357	7
358	4
359	7
360	5
361	4
362	8
363	8
364	6
365	4
366	7
367	8
368	3
369	5
370	7
371	7
372	4
373	8
374	4
375	10
376	5
377	9
378	3
379	10
380	6
381	12
382	5
383	15
384	9
385	13
386	8
387	13
388	7
389	10
390	7
391	12
392	7
393	5
394	3
395	8
396	7
397	4
398	5
399	6
400	10
401	10
402	9
403	8
404	10
405	7
406	8
407	11
408	13
409	3
410	8
411	11
412	5
413	9
414	7
415	2
416	7
417	6
418	5
419	3
420	6
421	6
422	7
423	6
424	7
425	6
426	21
427	13
428	4
429	7
430	2
431	9
432	11
433	7
434	9
435	10
436	5
437	10
438	10
439	1
440	6
441	4
442	11
443	7
444	6
445	7
446	4
447	6
448	6
449	16
450	10
451	5
452	7
453	8
454	11
455	5
456	4
457	8
458	7
459	10
460	7
461	9
462	5
463	8
464	3
465	9
466	6
467	10
468	4
469	7
470	3
471	4
472	6
473	6
474	3
475	6
476	9
477	7
478	5
479	10
480	8
481	4
482	11
483	11
484	11
485	6
486	9
487	8
488	6
489	7
490	10
491	4
492	7
493	9
494	4
495	7
496	10
497	6
498	7
499	5
500	7
501	13
502	6
503	6
504	5
505	6
506	9
507	5
508	4
509	6
510	17
511	17
512	8
513	8
514	10
515	5
516	3
517	2
518	7
519	13
520	3
521	6
522	2
523	12
524	5
525	8
526	5
527	6
528	1
529	7
530	5
531	3
532	5
533	9
534	13
535	4
536	8
537	6
538	5
539	10
540	3
541	7
542	8
543	7
544	4
545	11
546	9
547	4
548	5
549	11
550	3
551	5
552	9
553	5
554	5
555	6
556	11
557	2
558	3
559	10
560	3
561	6
562	5
563	6
564	7
565	11
566	1
567	7
568	6
569	10
570	3
571	5
572	2
573	3
574	1
575	8
576	8
577	3
578	2
579	8
580	12
581	11
582	7
