Venue State	Number of Venues
CA	13892
TX	4754
NY	3896
FL	3464
CO	2625
OH	2376
NC	2304
IL	2302
MA	2159
WA	2082
GA	1897
PA	1781
DC	1704
OR	1538
VA	1379
MI	1332
MO	1321
AZ	1286
MN	1148
TN	992
WI	878
UT	852
IN	621
NV	612
NJ	503
CT	465
AL	402
KY	385
IA	363
KS	340
MD	317
SC	287
NM	284
NE	268
OK	228
LA	213
ID	211
HI	137
DE	101
RI	68
AK	58
ON	44
AR	41
MS	31
ico	12
SD	9
ND	6
WY	6
NH	3
